Plant_ID,Temperature (°C),Humidity (%),TDS Value (ppm),pH Level,Growth Days
5,32.1,72,605,6.2,35
5,31.5,70,768,6.8,36
5,29.8,65,645,6.3,37
5,20.1,54,661,6.3,38
5,31.1,76,573,6.4,39
5,31.2,52,471,6.7,40
5,31.2,72,738,6.2,41
5,30.4,60,529,6.1,42
5,29.1,58,576,6.2,43
5,30.6,77,453,6.1,44
5,31.5,80,483,6.5,45
6,33.4,66,795,6.1,1
6,33.5,77,738,6.5,2
6,33.4,66,662,6.4,3
6,33.4,56,653,6.3,4
6,33.4,62,521,6.7,5
6,32.3,65,482,6.7,6
6,32.3,60,620,6.6,7
6,22.7,74,740,6.6,8
6,31.9,73,760,6.3,9
6,30.2,71,485,6.4,10
6,30.1,59,648,6.1,11
6,30.1,64,490,6.6,12
6,30.1,74,425,6.1,13
6,29.8,78,755,6.8,14
6,29.6,50,437,6.6,15
6,30.9,59,666,6.4,16
6,30.8,58,583,6.6,17
6,30.9,56,568,6.2,18
6,30.2,73,662,6.2,19
6,30.5,63,553,6.5,20
6,30.8,54,474,6.7,21
6,31.3,51,596,6.5,22
6,31.4,73,614,6.7,23
6,31.4,52,500,6.2,24
6,30.1,51,474,6.2,25
6,29.4,76,515,6.5,26
6,28.7,65,693,6,27
6,29.1,68,782,6.2,28
6,29.2,59,626,6.6,29
6,31.7,77,512,6.5,30
6,31.7,77,742,6.5,31
6,31.7,53,757,6.5,32
6,31.7,77,456,6.8,33
6,32,64,642,6.4,34
6,32.1,61,517,6.7,35
6,31.5,56,701,6,36
6,29.8,74,793,6.7,37
6,20.1,55,490,6.5,38
6,31.1,71,555,6.2,39
6,31.2,56,549,6.5,40
6,31.2,57,793,6.4,41
6,30.4,68,491,6.6,42
6,29.1,68,789,6.2,43
6,30.6,61,741,6.3,44
6,31.5,71,591,6.4,45
7,33.4,74,459,6.5,1
7,33.5,78,598,6.3,2
7,33.4,51,507,6.1,3
7,33.4,58,583,6.1,4
7,33.4,75,555,6.2,5
7,32.3,61,684,6.7,6
7,32.3,64,769,6.1,7
7,22.7,70,566,6,8
7,31.9,68,763,6.5,9
7,30.2,80,782,6.5,10
7,30.1,68,432,6.4,11
7,30.1,56,676,6.8,12
7,30.1,52,780,6.5,13
7,29.8,53,778,6.1,14
7,29.6,58,491,6.6,15
7,30.9,72,536,6.8,16
7,30.8,60,701,6.3,17
7,30.9,77,730,6.4,18
7,30.2,51,619,6.3,19
7,30.5,71,503,6.2,20
7,30.8,58,503,6.2,21
7,31.3,57,552,6.1,22
7,31.4,77,617,6.5,23
7,31.4,61,640,6.6,24
7,30.1,55,600,6.5,25
7,29.4,79,670,6.7,26
7,28.7,63,541,6,27
7,29.1,62,498,6.5,28
7,29.2,80,426,6.6,29
7,31.7,52,583,6.5,30
7,31.7,67,696,6.7,31
7,31.7,71,781,6.6,32
7,31.7,79,436,6.7,33
7,32,78,466,6.6,34
7,32.1,76,472,6.5,35
7,31.5,54,749,6.8,36
7,29.8,54,645,6.4,37
7,20.1,63,555,6.2,38
7,31.1,53,545,6.2,39
7,31.2,53,800,6.7,40
7,31.2,52,468,6.7,41
7,30.4,52,777,6.6,42
7,29.1,60,459,6.6,43
7,30.6,69,787,6,44
7,31.5,72,508,6.3,45
7,29.1,62,696,6.5,46
7,30.5,58,600,6.2,47
8,33.4,76,650,6,1
8,33.5,77,457,6.3,2
8,33.4,72,454,6.7,3
8,33.4,71,673,6.4,4
8,33.4,78,700,6,5
8,32.3,63,588,6.7,6
8,32.3,59,434,6.4,7
8,22.7,60,708,6.6,8
8,31.9,64,699,6.6,9
8,30.2,55,403,6.6,10
8,30.1,77,606,6.3,11
8,30.1,57,763,6.3,12
8,30.1,59,727,6.2,13
8,29.8,51,649,6.4,14
8,29.6,74,586,6.5,15
8,30.9,70,415,6.6,16
8,30.8,62,422,6.4,17
8,30.9,76,781,6.5,18
8,30.2,79,742,6.7,19
8,30.5,53,715,6.1,20
8,30.8,59,411,6,21
8,31.3,67,553,6.1,22
8,31.4,73,565,6.2,23
8,31.4,79,619,6.3,24
8,30.1,68,542,6.7,25
8,29.4,54,559,6.2,26
8,28.7,78,779,6.5,27
8,29.1,72,630,6.4,28
8,29.2,55,483,6.4,29
8,31.7,61,775,6.6,30
8,31.7,54,458,6.6,31
8,31.7,76,438,6.5,32
8,31.7,63,538,6.4,33
8,32,75,697,6.7,34
8,32.1,50,605,6.4,35
8,31.5,75,555,6.6,36
8,29.8,75,484,6.2,37
8,20.1,69,763,6.8,38
8,31.1,75,698,6.7,39
8,31.2,76,720,6.5,40
8,31.2,51,768,6.1,41
8,30.4,78,472,6.2,42
8,29.1,51,458,6.2,43
8,30.6,50,632,6.2,44
8,31.5,65,546,6.2,45
9,33.4,72,693,6.4,1
9,33.5,80,434,6,2
9,33.4,70,671,6.3,3
9,33.4,64,613,6.1,4
9,33.4,79,731,6.3,5
9,32.3,70,658,6.3,6
9,32.3,62,538,6.6,7
9,22.7,72,455,6.2,8
9,31.9,62,646,6.7,9
9,30.2,74,563,6.8,10
9,30.1,80,791,6.4,11
9,30.1,72,473,6.6,12
9,30.1,52,602,6.3,13
9,29.8,66,613,6.3,14
9,29.6,63,613,6.7,15
9,30.9,79,569,6.4,16
9,30.8,73,610,6.5,17
9,30.9,57,746,6.2,18
9,30.2,66,607,6.1,19
9,30.5,71,464,6.3,20
9,30.8,70,474,6.1,21
9,31.3,59,461,6.1,22
9,31.4,61,667,6.2,23
9,31.4,69,721,6.1,24
9,30.1,50,775,6.6,25
9,29.4,74,445,6.1,26
9,28.7,78,635,6.5,27
9,29.1,73,684,6.7,28
9,29.2,54,784,6,29
9,31.7,66,597,6.1,30
9,31.7,77,501,6.4,31
9,31.7,55,490,6.4,32
9,31.7,55,468,6.2,33
9,32,66,680,6.4,34
9,32.1,70,561,6.7,35
9,31.5,54,697,6,36
9,29.8,61,629,6.7,37
9,20.1,66,644,6.4,38
9,31.1,69,726,6.7,39
9,31.2,65,573,6.2,40
9,31.2,80,793,6.6,41
9,30.4,51,663,6.5,42
9,29.1,67,516,6.3,43
9,30.6,58,455,6.7,44
9,31.5,78,722,6.1,45
9,31.3,66,505,6.2,46
10,33.4,66,503,6.5,1
10,33.5,58,414,6.5,2
10,33.4,76,679,6.1,3
10,33.4,56,607,6.4,4
10,33.4,53,527,6.3,5
10,32.3,75,658,6.3,6
10,32.3,72,623,6.7,7
10,22.7,74,778,6.6,8
10,31.9,67,512,6.4,9
10,30.2,60,800,6.7,10
10,30.1,52,471,6.2,11
10,30.1,62,552,6.8,12
10,30.1,74,701,6.6,13
10,29.8,51,594,6.5,14
10,29.6,73,419,6.2,15
10,30.9,73,579,6.1,16
10,30.8,50,493,6,17
10,30.9,53,721,6.4,18
10,30.2,77,778,6.2,19
10,30.5,67,668,6.8,20
10,30.8,57,609,6.6,21
10,31.3,64,746,6.3,22
10,31.4,79,725,6.2,23
10,31.4,60,593,6.3,24
10,30.1,77,560,6.5,25
10,29.4,74,597,6.6,26
10,28.7,56,613,6.6,27
10,29.1,59,704,6.5,28
10,29.2,54,585,6.5,29
10,31.7,59,616,6.1,30
10,31.7,78,697,6.4,31
10,31.7,71,623,6.1,32
10,31.7,69,649,6.4,33
10,32,72,440,6.2,34
10,32.1,72,469,6.3,35
10,31.5,72,603,6.4,36
10,29.8,57,440,6.6,37
10,20.1,69,648,6.7,38
10,31.1,68,538,6.7,39
10,31.2,71,586,6.1,40
10,31.2,58,794,6.6,41
10,30.4,69,674,6.3,42
10,29.1,63,782,6.5,43
10,30.6,78,578,6.3,44
10,31.5,67,638,6.2,45
11,33.4,57,695,6.1,1
11,33.5,63,706,6.6,2
11,33.4,63,716,6.6,3
11,33.4,50,734,6.4,4
11,33.4,55,431,6.2,5
11,32.3,54,730,6.7,6
11,32.3,69,529,6.3,7
11,22.7,56,489,6.4,8
11,31.9,58,514,6.2,9
11,30.2,51,752,6.2,10
11,30.1,74,557,6.2,11
11,30.1,50,620,6.1,12
11,30.1,64,511,6.5,13
11,29.8,74,462,6.6,14
11,29.6,75,760,6.4,15
11,30.9,80,704,6.6,16
11,30.8,76,466,6.1,17
11,30.9,61,565,6.4,18
11,30.2,75,602,6.2,19
11,30.5,71,602,6.7,20
11,30.8,53,537,6.7,21
11,31.3,76,620,6.6,22
11,31.4,75,539,6.5,23
11,31.4,79,509,6.3,24
11,30.1,76,489,6.3,25
11,29.4,52,589,6.1,26
11,28.7,72,695,6.5,27
11,29.1,69,421,6.1,28
11,29.2,62,402,6.7,29
11,31.7,55,765,6.5,30
11,31.7,67,473,6.7,31
11,31.7,54,749,6.3,32
11,31.7,76,452,6.3,33
11,32,63,539,6.6,34
11,32.1,56,519,6.7,35
11,31.5,80,424,6.6,36
11,29.8,57,476,6.3,37
11,20.1,50,662,6,38
11,31.1,67,552,6.5,39
11,31.2,52,671,6.4,40
11,31.2,66,402,6.6,41
11,30.4,60,690,6.3,42
11,29.1,55,660,6.3,43
11,30.6,63,692,6.1,44
11,31.5,79,508,6.5,45
11,32.1,62,589,6.4,46
11,31.2,75,519,6.3,47
12,33.4,77,611,6.2,1
12,33.5,58,442,6.7,2
12,33.4,75,756,6.6,3
12,33.4,60,732,6.1,4
12,33.4,71,640,6.3,5
12,32.3,71,515,6.6,6
12,32.3,60,435,6.4,7
12,22.7,58,517,6.2,8
12,31.9,55,602,6.2,9
12,30.2,51,711,6,10
12,30.1,59,712,6.1,11
12,30.1,64,529,6.8,12
12,30.1,53,791,6.8,13
12,29.8,78,710,6.6,14
12,29.6,70,497,6.3,15
12,30.9,59,585,6.6,16
12,30.8,62,742,6.7,17
12,30.9,70,628,6.7,18
12,30.2,58,595,6.5,19
12,30.5,54,463,6.1,20
12,30.8,72,450,6.7,21
12,31.3,71,485,6,22
12,31.4,73,501,6.2,23
12,31.4,72,483,6.6,24
12,30.1,73,598,6.5,25
12,29.4,63,682,6.5,26
12,28.7,66,577,6.1,27
12,29.1,72,497,6.6,28
12,29.2,78,756,6.1,29
12,31.7,75,467,6.4,30
12,31.7,60,450,6.1,31
12,31.7,74,591,6.2,32
12,31.7,73,693,6.5,33
12,32,75,467,6.7,34
12,32.1,55,537,6,35
12,31.5,69,630,6.4,36
12,29.8,58,612,6.8,37
12,20.1,58,752,6.2,38
12,31.1,73,435,6.3,39
12,31.2,60,616,6.5,40
12,31.2,64,438,6,41
12,30.4,56,507,6.4,42
12,29.1,51,423,6.5,43
12,30.6,71,538,6.4,44
12,31.5,72,735,6,45
13,33.4,59,544,6.8,1
13,33.5,52,452,6.2,2
13,33.4,71,789,6.2,3
13,33.4,63,583,6.5,4
13,33.4,77,657,6.5,5
13,32.3,67,435,6.3,6
13,32.3,72,459,6.1,7
13,22.7,54,663,6.6,8
13,31.9,73,415,6.3,9
13,30.2,73,546,6.8,10
13,30.1,77,696,6.1,11
13,30.1,56,656,6.6,12
13,30.1,73,476,6.3,13
13,29.8,75,739,6.7,14
13,29.6,71,772,6.3,15
13,30.9,51,692,6.7,16
13,30.8,52,565,6.3,17
13,30.9,65,463,6.4,18
13,30.2,63,458,6.2,19
13,30.5,66,693,6.2,20
13,30.8,68,667,6.5,21
13,31.3,55,490,6.8,22
13,31.4,52,486,6.7,23
13,31.4,73,626,6.5,24
13,30.1,53,740,6.7,25
13,29.4,60,539,6.1,26
13,28.7,57,475,6.5,27
13,29.1,75,719,6.4,28
13,29.2,59,492,6.7,29
13,31.7,77,425,6.8,30
13,31.7,77,626,6.2,31
13,31.7,56,509,6.5,32
13,31.7,69,518,6,33
13,32,71,744,6.2,34
13,32.1,64,416,6.6,35
13,31.5,52,724,6.8,36
13,29.8,62,423,6.8,37
13,20.1,78,419,6.4,38
13,31.1,50,653,6.6,39
13,31.2,71,589,6.7,40
13,31.2,51,724,6.3,41
13,30.4,65,415,6.1,42
13,29.1,66,609,6.2,43
13,30.6,57,475,6.1,44
13,31.5,69,732,6.5,45
14,33.4,56,535,6.2,1
14,33.5,76,664,6,2
14,33.4,59,498,6.3,3
14,33.4,63,511,6.6,4
14,33.4,53,589,6.3,5
14,32.3,51,574,6.7,6
14,32.3,61,522,6.3,7
14,22.7,68,714,6.6,8
14,31.9,76,630,6.7,9
14,30.2,78,514,6.7,10
14,30.1,75,602,6,11
14,30.1,75,769,6.5,12
14,30.1,69,501,6.1,13
14,29.8,52,798,6.6,14
14,29.6,80,455,6.3,15
14,30.9,57,719,6.1,16
14,30.8,65,453,6.4,17
14,30.9,63,652,6.6,18
14,30.2,66,409,6.4,19
14,30.5,56,651,6.5,20
14,30.8,55,466,6,21
14,31.3,66,498,6.2,22
14,31.4,65,645,6.3,23
14,31.4,58,637,6.2,24
14,30.1,55,743,6.4,25
14,29.4,65,573,6.2,26
14,28.7,66,522,6.5,27
14,29.1,77,413,6.4,28
14,29.2,73,505,6,29
14,31.7,54,448,6.5,30
14,31.7,51,472,6.4,31
14,31.7,63,710,6.3,32
14,31.7,67,698,6.4,33
14,32,75,683,6.7,34
14,32.1,66,434,6.3,35
14,31.5,57,642,6.4,36
14,29.8,56,550,6.4,37
14,20.1,64,590,6.4,38
14,31.1,69,536,6,39
14,31.2,73,465,6.4,40
14,31.2,53,795,6.4,41
14,30.4,76,449,6.3,42
14,29.1,61,764,6.4,43
14,30.6,57,645,6.1,44
14,31.5,75,663,6.5,45
15,33.4,61,555,6.1,1
15,33.5,57,584,6.3,2
15,33.4,56,590,6.7,3
15,33.4,63,782,6.7,4
15,33.4,73,767,6.4,5
15,32.3,61,459,6,6
15,32.3,71,741,6.2,7
15,22.7,58,724,6.5,8
15,31.9,79,779,6.5,9
15,30.2,54,743,6.1,10
15,30.1,77,509,6,11
15,30.1,55,770,6.1,12
15,30.1,57,490,6.5,13
15,29.8,58,409,6.3,14
15,29.6,59,734,6.5,15
15,30.9,58,587,6.5,16
15,30.8,80,501,6.5,17
15,30.9,53,513,6.5,18
15,30.2,69,493,6,19
15,30.5,80,578,6.3,20
15,30.8,74,609,6.4,21
15,31.3,60,590,6.2,22
15,31.4,55,539,6.8,23
15,31.4,63,759,6.1,24
15,30.1,52,663,6.6,25
15,29.4,53,587,6.6,26
15,28.7,54,474,6.5,27
15,29.1,75,543,6.1,28
15,29.2,78,518,6.6,29
15,31.7,51,725,6.2,30
15,31.7,73,559,6.6,31
15,31.7,65,619,6.7,32
15,31.7,72,415,6.8,33
15,32,73,714,6.5,34
15,32.1,75,427,6.3,35
15,31.5,52,501,6,36
15,29.8,73,584,6.6,37
15,20.1,50,556,6,38
15,31.1,53,604,6.8,39
15,31.2,62,402,6.8,40
15,31.2,61,403,6.6,41
15,30.4,75,561,6.1,42
15,29.1,68,420,6.6,43
15,30.6,60,708,6,44
15,31.5,57,783,6.7,45
16,33.4,50,769,6.7,1
16,33.5,64,794,6.1,2
16,33.4,71,533,6.8,3
16,33.4,56,588,6,4
16,33.4,68,554,6.6,5
16,32.3,70,482,6.1,6
16,32.3,58,779,6.3,7
16,22.7,80,503,6.1,8
16,31.9,68,692,6.5,9
16,30.2,68,454,6.4,10
16,30.1,62,477,6.6,11
16,30.1,67,737,6.4,12
16,30.1,67,454,6.7,13
16,29.8,71,654,6.2,14
16,29.6,64,439,6.1,15
16,30.9,58,794,6.5,16
16,30.8,66,454,6.7,17
16,30.9,69,402,6.5,18
16,30.2,64,426,6.6,19
16,30.5,80,515,6.8,20
16,30.8,79,513,6.8,21
16,31.3,54,738,6.8,22
16,31.4,68,682,6.2,23
16,31.4,67,462,6,24
16,30.1,51,626,6.1,25
16,29.4,50,502,6.8,26
16,28.7,65,553,6.4,27
16,29.1,70,755,6.5,28
16,29.2,64,662,6.4,29
16,31.7,50,771,6,30
16,31.7,67,793,6.5,31
16,31.7,62,657,6.4,32
16,31.7,62,659,6.8,33
16,32,53,522,6.1,34
16,32.1,65,627,6.2,35
16,31.5,55,423,6.4,36
16,29.8,69,403,6.7,37
16,20.1,76,409,6.6,38
16,31.1,54,645,6.3,39
16,31.2,65,572,6.5,40
16,31.2,80,732,6.6,41
16,30.4,68,701,6.7,42
16,29.1,75,564,6.1,43
16,30.6,52,703,6.5,44
16,31.5,79,742,6.4,45
16,30.9,65,651,6,46
17,33.4,58,631,6.6,1
17,33.5,66,627,6.2,2
17,33.4,77,491,6.4,3
17,33.4,62,647,6.1,4
17,33.4,61,505,6.6,5
17,32.3,55,617,6,6
17,32.3,71,552,6.5,7
17,22.7,67,744,6.3,8
17,31.9,58,735,6.1,9
17,30.2,58,462,6,10
17,30.1,51,798,6.5,11
17,30.1,55,737,6.6,12
17,30.1,73,607,6.2,13
17,29.8,58,543,6.2,14
17,29.6,58,587,6.3,15
17,30.9,79,672,6.7,16
17,30.8,52,595,6.8,17
17,30.9,80,716,6.7,18
17,30.2,57,736,6.3,19
17,30.5,58,542,6.6,20
17,30.8,58,625,6.8,21
17,31.3,65,765,6.5,22
17,31.4,75,552,6.1,23
17,31.4,70,416,6.6,24
17,30.1,66,697,6.6,25
17,29.4,73,762,6.5,26
17,28.7,69,598,6.1,27
17,29.1,80,632,6.5,28
17,29.2,50,728,6.3,29
17,31.7,73,657,6.3,30
17,31.7,65,406,6.1,31
17,31.7,53,461,6.3,32
17,31.7,68,424,6.6,33
17,32,58,743,6.1,34
17,32.1,67,672,6.6,35
17,31.5,73,400,6.8,36
17,29.8,78,732,6.5,37
17,20.1,62,472,6.1,38
17,31.1,68,648,6,39
17,31.2,72,786,6.3,40
17,31.2,61,482,6.6,41
17,30.4,60,716,6.3,42
17,29.1,57,743,6.6,43
17,30.6,75,575,6.3,44
17,31.5,61,710,6.6,45
18,33.4,78,623,6.2,1
18,33.5,73,463,6.4,2
18,33.4,61,440,6.3,3
18,33.4,55,451,6.5,4
18,33.4,51,798,6.6,5
18,32.3,58,556,6.5,6
18,32.3,67,794,6,7
18,22.7,53,653,6,8
18,31.9,76,407,6.7,9
18,30.2,52,478,6.8,10
18,30.1,54,528,6.5,11
18,30.1,67,769,6.4,12
18,30.1,52,723,6.1,13
18,29.8,69,688,6,14
18,29.6,62,479,6.1,15
18,30.9,50,408,6,16
18,30.8,80,489,6.2,17
18,30.9,60,630,6.2,18
18,30.2,57,540,6.4,19
18,30.5,69,413,6.1,20
18,30.8,74,505,6.3,21
18,31.3,73,414,6.6,22
18,31.4,64,448,6.4,23
18,31.4,55,660,6.6,24
18,30.1,69,757,6.8,25
18,29.4,66,544,6.1,26
18,28.7,59,699,6.8,27
18,29.1,70,637,6.4,28
18,29.2,73,772,6.6,29
18,31.7,78,746,6.2,30
18,31.7,67,579,6.3,31
18,31.7,64,740,6.1,32
18,31.7,68,442,6.6,33
18,32,60,730,6.5,34
18,32.1,73,423,6.2,35
18,31.5,75,493,6.2,36
18,29.8,75,587,6.1,37
18,20.1,77,404,6.4,38
18,31.1,61,408,6.5,39
18,31.2,70,555,6.3,40
18,31.2,78,440,6.5,41
18,30.4,59,501,6,42
18,29.1,76,750,6.6,43
18,30.6,51,491,6.5,44
18,31.5,78,705,6.8,45
19,33.4,51,492,6.3,1
19,33.5,74,552,6.5,2
19,33.4,72,646,6.1,3
19,33.4,80,405,6.8,4
19,33.4,65,661,6.3,5
19,32.3,63,651,6.5,6
19,32.3,72,747,6.1,7
19,22.7,75,693,6.5,8
19,31.9,59,486,6.7,9
19,30.2,79,486,6.8,10
19,30.1,59,655,6.6,11
19,30.1,71,503,6.5,12
19,30.1,71,763,6.3,13
19,29.8,72,599,6.7,14
19,29.6,75,587,6.1,15
19,30.9,63,790,6.7,16
19,30.8,73,415,6.5,17
19,30.9,57,708,6.2,18
19,30.2,64,539,6.3,19
19,30.5,77,745,6.2,20
19,30.8,69,515,6.2,21
19,31.3,69,637,6.7,22
19,31.4,67,455,6.7,23
19,31.4,78,576,6.5,24
19,30.1,68,606,6,25
19,29.4,80,623,6.4,26
19,28.7,76,498,6.2,27
19,29.1,75,411,6.6,28
19,29.2,72,789,6.1,29
19,31.7,50,459,6.4,30
19,31.7,60,401,6.5,31
19,31.7,53,583,6.1,32
19,31.7,76,434,6.8,33
19,32,76,563,6.6,34
19,32.1,52,497,6.1,35
19,31.5,61,680,6.2,36
19,29.8,53,553,6.6,37
19,20.1,68,611,6.2,38
19,31.1,64,588,6.2,39
19,31.2,53,503,6.4,40
19,31.2,67,449,6,41
19,30.4,52,417,6.6,42
19,29.1,51,437,6.1,43
19,30.6,73,536,6.5,44
19,31.5,70,571,6.3,45
20,33.4,56,708,6.1,1
20,33.5,73,597,6.7,2
20,33.4,60,483,6.7,3
20,33.4,66,729,6.7,4
20,33.4,72,430,6,5
20,32.3,76,529,6.2,6
20,32.3,69,767,6.3,7
20,22.7,57,648,6.4,8
20,31.9,50,592,6.6,9
20,30.2,60,702,6.7,10
20,30.1,72,747,6.5,11
20,30.1,75,611,6.4,12
20,30.1,72,562,6,13
